lat,lon,date,offense,street
41.619825987,-86.23536403,2023-01-26T00:00:00Z,,Finch
41.620066003,-86.23067603,2022-04-04T00:00:00Z,,Fairfax
41.620335984,-86.23517502,2022-08-22T00:00:00Z,,Finch
41.620335984,-86.23517502,2023-03-31T00:00:00Z,,Finch
41.62042353,-86.24390544,2025-02-04T00:00:00Z,,Fellows
41.620711996,-86.23002199,2022-04-25T00:00:00Z,,Falls
41.62104,-86.2389,2025-06-11T00:00:00Z,,Copper
41.62161301,-86.23966504,2024-10-13T00:00:00Z,,Eagle
41.62164,-86.2428,2025-01-13T00:00:00Z,,Walden
41.62179,-86.2303,2025-04-18T00:00:00Z,,Jackson
41.621793089,-86.24418285,2023-06-25T00:00:00Z,,Fellows
41.621801015,-86.23324903,2024-01-28T00:00:00Z,,Jackson
41.622005995,-86.21383696,2024-02-02T00:00:00Z,,Harwood
41.622012341,-86.21559892,2023-03-25T00:00:00Z,,Ironwood
41.622012341,-86.21559892,2023-09-23T00:00:00Z,,Ironwood
41.622017364,-86.2155985,2022-03-09T00:00:00Z,,Ironwood
41.622017364,-86.2155985,2022-03-14T00:00:00Z,,Ironwood
41.622017364,-86.2155985,2022-03-19T00:00:00Z,,Ironwood
41.622017364,-86.2155985,2022-03-21T00:00:00Z,,Ironwood
41.622017364,-86.2155985,2022-09-29T00:00:00Z,,Ironwood
41.62211855,-86.21561244,2024-06-28T00:00:00Z,,Ironwood
41.62212,-86.2156,2025-07-03T00:00:00Z,,Ironwood
41.6222,-86.1964,2024-11-18T00:00:00Z,,Jackson
41.622528984,-86.22117397,2023-06-14T00:00:00Z,,Renfrew
41.622557985,-86.22752603,2023-07-21T00:00:00Z,,Renfrew
41.62258,-86.2311,2025-01-08T00:00:00Z,,Fairington
41.622946369,-86.23143204,2022-01-14T00:00:00Z,,Fairington
41.623,-86.2175,2025-07-31T00:00:00Z,,Renfrew
41.623089984,-86.23857204,2022-02-14T00:00:00Z,,Miami
41.623089984,-86.23857204,2022-10-04T00:00:00Z,,Miami
41.623089984,-86.23857204,2022-11-04T00:00:00Z,,Miami
41.623089984,-86.23857204,2023-02-28T00:00:00Z,,Miami
41.623089984,-86.23857204,2023-04-11T00:00:00Z,,Miami
41.623089984,-86.23857204,2023-04-18T00:00:00Z,,Miami
41.623097989,-86.23857698,2024-02-01T00:00:00Z,,Miami
41.62309799,-86.23857698,2024-09-10T00:00:00Z,,Miami
41.62309799,-86.23857698,2024-10-15T00:00:00Z,,Miami
41.6231,-86.2386,2025-04-18T00:00:00Z,,Miami
41.62311,-86.2372,2025-01-07T00:00:00Z,,Miami
41.623151005,-86.22981697,2022-07-15T00:00:00Z,,Jackson
41.6232,-86.2371,2025-09-11T00:00:00Z,,Miami
41.623262987,-86.22567204,2022-07-28T00:00:00Z,,Craig
41.623290018,-86.219913,2022-08-25T00:00:00Z,,Kirkshire
41.62368,-86.2322,2025-11-13T00:00:00Z,,Fairington
41.623691009,-86.23221302,2022-04-07T00:00:00Z,,Fairington
41.62388199,-86.21616897,2023-06-14T00:00:00Z,,Carrbridge
41.623947998,-86.22156197,2022-07-05T00:00:00Z,,Blackford
41.62395,-86.2216,2024-11-04T00:00:00Z,,Blackford
41.6240286,-86.23167515,2022-06-16T00:00:00Z,,Fairington
41.62404,-86.2223,2024-12-06T00:00:00Z,,Blackford
41.62419,-86.2257,2025-01-10T00:00:00Z,,Craig
41.62464,-86.2198,2025-03-01T00:00:00Z,,Thornhill
41.62544199,-86.24289098,2024-09-10T00:00:00Z,,Widener
41.625547014,-86.24175498,2023-09-27T00:00:00Z,,Widener
41.62558,-86.2335,2025-08-15T00:00:00Z,,Ireland
41.62558,-86.2335,2025-08-18T00:00:00Z,,Ireland
41.62558,-86.2335,2025-08-27T00:00:00Z,,Ireland
41.62558,-86.2335,2025-09-05T00:00:00Z,,Ireland
41.62558,-86.2335,2025-09-26T00:00:00Z,,Ireland
41.62559508,-86.23348716,2025-02-06T00:00:00Z,,Ireland
41.62559508,-86.23348716,2025-02-11T00:00:00Z,,Ireland
41.62559508,-86.23348716,2025-02-12T00:00:00Z,,Ireland
41.62559508,-86.23348716,2025-02-21T00:00:00Z,,Ireland
41.62559508,-86.23348716,2025-02-23T00:00:00Z,,Ireland
41.62559508,-86.23348716,2025-02-27T00:00:00Z,,Ireland
41.6256,-86.2335,2024-12-12T00:00:00Z,,Ireland
41.6256,-86.2335,2024-12-22T00:00:00Z,,Ireland
41.6256,-86.2335,2024-12-23T00:00:00Z,,Ireland
41.6256,-86.2335,2024-12-24T00:00:00Z,,Ireland
41.6256,-86.2335,2024-12-30T00:00:00Z,,Ireland
41.6256,-86.2335,2025-01-06T00:00:00Z,,Ireland
41.6256,-86.2335,2025-01-16T00:00:00Z,,Ireland
41.6256,-86.2335,2025-01-17T00:00:00Z,,Ireland
41.6256,-86.2335,2025-01-30T00:00:00Z,,Ireland
41.6256,-86.2335,2025-03-15T00:00:00Z,,Ireland
41.6256,-86.2335,2025-03-24T00:00:00Z,,Ireland
41.6256,-86.2335,2025-03-28T00:00:00Z,,Ireland
41.625627983,-86.23152302,2022-03-09T00:00:00Z,,Ireland
41.625627983,-86.23152302,2022-03-26T00:00:00Z,,Ireland
41.625627983,-86.23152302,2022-03-26T00:00:00Z,,Ireland
41.625627983,-86.23152302,2022-04-05T00:00:00Z,,Ireland
41.625627983,-86.23152302,2022-04-08T00:00:00Z,,Ireland
41.625627983,-86.23152302,2022-04-29T00:00:00Z,,Ireland
41.625627983,-86.23152302,2022-06-24T00:00:00Z,,Ireland
41.62564,-86.2626,2025-08-21T00:00:00Z,,Burnett
41.62564,-86.2626,2025-08-22T00:00:00Z,,Burnett
41.625660002,-86.22102796,2023-03-27T00:00:00Z,,Huntley
41.62571,-86.2216,2025-10-31T00:00:00Z,,Huntley
41.62571,-86.22153297,2022-10-25T00:00:00Z,,Huntley
41.62571273,-86.27133895,2024-09-04T00:00:00Z,,St
41.62572,-86.2215,2025-01-13T00:00:00Z,,Huntley
41.62581,-86.2619,2024-12-09T00:00:00Z,,Burnett
41.626015017,-86.24170997,2022-08-06T00:00:00Z,,Widener
41.626015017,-86.24170997,2022-08-06T00:00:00Z,,Widener
41.62606099,-86.23363501,2024-04-26T00:00:00Z,,Ireland
41.62606099,-86.23363501,2024-05-23T00:00:00Z,,Ireland
41.62606099,-86.23363501,2024-09-10T00:00:00Z,,Ireland
41.62606099,-86.23363501,2024-09-17T00:00:00Z,,Ireland
41.626060992,-86.23363501,2023-11-13T00:00:00Z,,Ireland
41.626060992,-86.23363501,2023-12-03T00:00:00Z,,Ireland
41.626060992,-86.23363501,2023-12-17T00:00:00Z,,Ireland
41.626060992,-86.23363501,2023-12-26T00:00:00Z,,Ireland
41.626060992,-86.23363501,2024-01-13T00:00:00Z,,Ireland
41.626060992,-86.23363501,2024-01-14T00:00:00Z,,Ireland
41.626060992,-86.23363501,2024-03-27T00:00:00Z,,Ireland
41.626102985,-86.24043701,2023-09-21T00:00:00Z,,Widener
41.626123982,-86.23565597,2022-05-02T00:00:00Z,,Widener
41.626163,-86.23514199,2023-11-14T00:00:00Z,,Miami
41.626175992,-86.26395303,2022-01-28T00:00:00Z,,Burnett
41.626175992,-86.26395303,2022-06-06T00:00:00Z,,Burnett
41.626175992,-86.26395303,2023-01-26T00:00:00Z,,Burnett
41.626175992,-86.26395303,2023-12-18T00:00:00Z,,Burnett
41.62618,-86.264,2025-06-29T00:00:00Z,,Burnett
